class_tree,enum,label,is_valid,available_planets
1.2.3.180.208.212,bone_horn_dathomir,Dothomirian Horn,TRUE,{dathomir}
1.2.3.180.208.213,bone_horn_endor,Endorian Horn,TRUE,{endor}
1.2.3.180.208.214,bone_horn_lok,Lokian Horn,TRUE,{lok}
1.2.3.180.208.215,bone_horn_naboo,Nabooian Horn,TRUE,{naboo}
1.2.3.180.208.216,bone_horn_rori,Rori Horn,TRUE,{rori}
1.2.3.180.208.217,bone_horn_talus,Talusian Horn,TRUE,{talus}
1.2.3.180.208.218,bone_horn_tatooine,Tatooinian Horn,TRUE,{tatooine}
1.2.3.180.208.219,bone_horn_yavin4,Yavinian Horn,TRUE,{yavin}
1.2.3.180.208.220,bone_horn_kashyyyk,Kashyyykian Horn,TRUE,{kashyyyk}
1.2.3.180.208.221,bone_horn_mustafar,Mustafarian Horn,TRUE,{mustafar}
1.2.3.180.222,hide,Hide,FALSE,{}
1.2.3.180.222.223,synthesized_hides,Synthesized Hides,FALSE,{}
1.2.3.180.222.224,hide_wooly,Wooly Hide,FALSE,{}
1.2.3.180.222.224.225,hide_wooly_corellia,Corellian Wooly Hide,TRUE,{corellia}
1.2.3.180.222.224.226,hide_wooly_dantooine,Dantooine Wooly Hide,TRUE,{dantooine}
1.2.3.180.222.224.227,hide_wooly_dathomir,Dathomirian Wooly Hide,TRUE,{dathomir}
1.2.3.180.222.224.228,hide_wooly_endor,Endorian Wooly Hide,TRUE,{endor}
1.2.3.180.222.224.229,hide_wooly_lok,Lokian Wooly Hide,TRUE,{lok}
1.2.3.180.222.224.230,hide_wooly_naboo,Nabooian Wooly Hide,TRUE,{naboo}
1.2.3.180.222.224.231,hide_wooly_rori,Rori Wooly Hide,TRUE,{rori}
1.2.3.180.222.224.232,hide_wooly_talus,Talusian Wooly Hide,TRUE,{talus}
1.2.3.180.222.224.233,hide_wooly_tatooine,Tatooinian Wooly Hide,TRUE,{tatooine}
1.2.3.180.222.224.234,hide_wooly_yavin4,Yavinian Wooly Hide,TRUE,{yavin}
1.2.3.180.222.224.235,hide_wooly_kashyyyk,Kashyyykian Wooly Hide,TRUE,{kashyyyk}
1.2.3.180.222.224.236,hide_wooly_mustafar,Mustafarian Wooly Hide,TRUE,{mustafar}
1.2.3.180.222.237,hide_bristley,Bristley Hide,FALSE,{}
1.2.3.180.222.237.238,hide_bristley_corellia,Corellian Bristley Hide,TRUE,{corellia}
1.2.3.180.222.237.239,hide_bristley_dantooine,Dantooine Bristley Hide,TRUE,{dantooine}
1.2.3.180.222.237.240,hide_bristley_dathomir,Dathomirian Bristley Hide,TRUE,{dathomir}
1.2.3.180.222.237.241,hide_bristley_endor,Endorian Bristley Hide,TRUE,{endor}
1.2.3.180.222.237.242,hide_bristley_lok,Lokian Bristley Hide,TRUE,{lok}
1.2.3.180.222.237.243,hide_bristley_naboo,Nabooian Bristley Hide,TRUE,{naboo}
1.2.3.180.222.237.244,hide_bristley_rori,Rori Bristley Hide,TRUE,{rori}
1.2.3.180.222.237.245,hide_bristley_talus,Talusian Bristley Hide,TRUE,{talus}
1.2.3.180.222.237.246,hide_bristley_tatooine,Tatooinian Bristley Hide,TRUE,{tatooine}
1.2.3.180.222.237.247,hide_bristley_yavin4,Yavinian Bristley Hide,TRUE,{yavin}
1.2.3.180.222.237.248,hide_bristley_kashyyyk,Kashyyykian Bristley Hide,TRUE,{kashyyyk}
1.2.3.180.222.237.249,hide_bristley_mustafar,Mustafarian Bristley Hide,TRUE,{mustafar}
1.2.3.180.222.250,hide_leathery,Leathery Hide,FALSE,{}
1.2.3.180.222.250.251,hide_leathery_corellia,Corellian Leathery Hide,TRUE,{corellia}
1.2.3.180.222.250.252,hide_leathery_dantooine,Dantooine Leathery Hide,TRUE,{dantooine}
1.2.3.180.222.250.253,hide_leathery_dathomir,Dathomirian Leathery Hide,TRUE,{dathomir}
1.2.3.180.222.250.254,hide_leathery_endor,Endorian Leathery Hide,TRUE,{endor}
1.2.3.180.222.250.255,hide_leathery_lok,Lokian Leathery Hide,TRUE,{lok}
1.2.3.180.222.250.256,hide_leathery_naboo,Nabooian Leathery Hide,TRUE,{naboo}
1.2.3.180.222.250.257,hide_leathery_rori,Rori Leathery Hide,TRUE,{rori}
1.2.3.180.222.250.258,hide_leathery_talus,Talusian Leathery Hide,TRUE,{talus}
1.2.3.180.222.250.259,hide_leathery_tatooine,Tatooinian Leathery Hide,TRUE,{tatooine}
1.2.3.180.222.250.260,hide_leathery_yavin4,Yavinian Leathery Hide,TRUE,{yavin}
1.2.3.180.222.250.261,hide_leathery_kashyyyk,Kashyyykian Leathery Hide,TRUE,{kashyyyk}
1.2.3.180.222.250.262,hide_leathery_mustafar,Mustafarian Leathery Hide,TRUE,{mustafar}
1.2.3.180.222.263,hide_scaley,Scaley Hide,FALSE,{}
1.2.3.180.222.263.264,hide_scaley_corellia,Corellian Scaley Hide,TRUE,{corellia}
1.2.3.180.222.263.265,hide_scaley_dantooine,Dantooine Scaley Hide,TRUE,{dantooine}
1.2.3.180.222.263.266,hide_scaley_dathomir,Dathomirian Scaley Hide,TRUE,{dathomir}
1.2.3.180.222.263.267,hide_scaley_endor,Endorian Scaley Hide,TRUE,{endor}
1.2.3.180.222.263.268,hide_scaley_lok,Lokian Scaley Hide,TRUE,{lok}
1.2.3.180.222.263.269,hide_scaley_naboo,Nabooian Scaley Hide,TRUE,{naboo}
1.2.3.180.222.263.270,hide_scaley_rori,Rori Scaley Hide,TRUE,{rori}
1.2.3.180.222.263.271,hide_scaley_talus,Talusian Scaley Hide,TRUE,{talus}
1.2.3.180.222.263.272,hide_scaley_tatooine,Tatooinian Scaley Hide,TRUE,{tatooine}
1.2.3.180.222.263.273,hide_scaley_yavin4,Yavinian Scaley Hide,TRUE,{yavin}
1.2.3.180.222.263.274,hide_scaley_kashyyyk,Kashyyykian Scaley Hide,TRUE,{kashyyyk}
1.2.3.180.222.263.275,hide_scaley_mustafar,Mustafarian Scaley Hide,TRUE,{mustafar}
1.2.3.4,creature_food,Creature Food,FALSE,{}
1.2.3.4.33,meat,Meat,FALSE,{}
1.2.3.4.33.100,meat_avian,Avian Meat,FALSE,{}
1.2.3.4.33.100.101,meat_avian_corellia,Corellian Avian Meat,TRUE,{corellia}
1.2.3.4.33.100.102,meat_avian_dantooine,Dantooine Avian Meat,TRUE,{dantooine}
1.2.3.4.33.100.103,meat_avian_dathomir,Dathomirian Avian Meat,TRUE,{dathomir}
1.2.3.4.33.100.104,meat_avian_endor,Endorian Avian Meat,TRUE,{endor}
1.2.3.4.33.100.105,meat_avian_lok,Lokian Avian Meat,TRUE,{lok}
1.2.3.4.33.100.106,meat_avian_naboo,Nabooian Avian Meat,TRUE,{naboo}
1.2.3.4.33.100.107,meat_avian_rori,Rori Avian Meat,TRUE,{rori}
1.2.3.4.33.100.108,meat_avian_talus,Talusian Avian Meat,TRUE,{talus}
1.2.3.4.33.100.109,meat_avian_tatooine,Tatooinian Avian Meat,TRUE,{tatooine}
1.2.3.4.33.100.110,meat_avian_yavin4,Yavinian Avian Meat,TRUE,{yavin}
1.2.3.4.33.100.111,meat_avian_kashyyyk,Kashyyykian Avian Meat,TRUE,{kashyyyk}
1.2.3.4.33.100.112,meat_avian_mustafar,Mustafarian Avian Meat,TRUE,{mustafar}
1.2.3.4.33.113,meat_egg,Egg,FALSE,{}
1.2.3.4.33.113.114,meat_egg_corellia,Corellian Egg,TRUE,{corellia}
1.2.3.4.33.113.115,meat_egg_dantooine,Dantooine Egg,TRUE,{dantooine}
1.2.3.4.33.113.116,meat_egg_dathomir,Dathomirian Egg,TRUE,{dathomir}
1.2.3.4.33.113.117,meat_egg_endor,Endorian Egg,TRUE,{endor}
1.2.3.4.33.113.118,meat_egg_lok,Lokian Egg,TRUE,{lok}
1.2.3.4.33.113.119,meat_egg_naboo,Nabooian Egg,TRUE,{naboo}
1.2.3.4.33.113.120,meat_egg_rori,Rori Egg,TRUE,{rori}
1.2.3.4.33.113.121,meat_egg_talus,Talusian Egg,TRUE,{talus}
1.2.3.4.33.113.122,meat_egg_tatooine,Tatooinian Egg,TRUE,{tatooine}
1.2.3.4.33.113.123,meat_egg_yavin4,Yavinian Egg,TRUE,{yavin}
1.2.3.4.33.113.124,meat_egg_kashyyyk,Kashyyykian Egg,TRUE,{kashyyyk}
1.2.3.4.33.113.125,meat_egg_mustafar,Mustafarian Egg,TRUE,{mustafar}
1.2.3.4.33.126,meat_insect,Insect Meat,FALSE,{}
1.2.3.4.33.126.127,meat_insect_corellia,Corellian Insect Meat,TRUE,{corellia}
1.2.3.4.33.126.128,meat_insect_dantooine,Dantooine Insect Meat,TRUE,{dantooine}
1.2.3.4.33.126.129,meat_insect_dathomir,Dathomirian Insect Meat,TRUE,{dathomir}
1.2.3.4.33.126.130,meat_insect_endor,Endorian Insect Meat,TRUE,{endor}
1.2.3.4.33.126.131,meat_insect_lok,Lokian Insect Meat,TRUE,{lok}
1.2.3.4.33.126.132,meat_insect_naboo,Nabooian Insect Meat,TRUE,{naboo}
1.2.3.4.33.126.133,meat_insect_rori,Rori Insect Meat,TRUE,{rori}
1.2.3.4.33.126.134,meat_insect_talus,Talusian Insect Meat,TRUE,{talus}
1.2.3.4.33.126.135,meat_insect_tatooine,Tatooinian Insect Meat,TRUE,{tatooine}
1.2.3.4.33.126.136,meat_insect_yavin4,Yavinian Insect Meat,TRUE,{yavin}
1.2.3.4.33.126.137,meat_insect_kashyyyk,Kashyyykian Insect Meat,TRUE,{kashyyyk}
1.2.3.4.33.126.138,meat_insect_mustafar,Mustafarian Insect Meat,TRUE,{mustafar}
1.2.3.4.33.139,seafood,Seafood,FALSE,{}
1.2.3.4.33.139.140,processed_seafood,Processed Seafood,FALSE,{}
1.2.3.4.33.139.141,seafood_fish,Fish,FALSE,{}
1.2.3.4.33.139.141.142,seafood_fish_corellia,Corellian Fish Meat,TRUE,{corellia}
1.2.3.4.33.139.141.143,seafood_fish_dantooine,Dantooine Fish Meat,TRUE,{dantooine}
1.2.3.4.33.139.141.144,seafood_fish_dathomir,Dathomirian Fish Meat,TRUE,{dathomir}
1.2.3.4.33.139.141.145,seafood_fish_endor,Endorian Fish Meat,TRUE,{endor}
1.2.3.4.33.139.141.146,seafood_fish_lok,Lokian Fish Meat,TRUE,{lok}
1.2.3.4.33.139.141.147,seafood_fish_naboo,Nabooian Fish Meat,TRUE,{naboo}
1.2.3.4.33.139.141.148,seafood_fish_rori,Rori Fish Meat,TRUE,{rori}
1.2.3.4.33.139.141.149,seafood_fish_talus,Talusian Fish Meat,TRUE,{talus}
1.2.3.4.33.139.141.150,seafood_fish_tatooine,Tatooinian Fish Meat,TRUE,{tatooine}
1.2.3.4.33.139.141.151,seafood_fish_yavin4,Yavinian Fish Meat,TRUE,{yavin}
1.2.3.4.33.139.141.152,seafood_fish_kashyyyk,Kashyyykian Fish Meat,TRUE,{kashyyyk}
1.2.3.4.33.139.141.153,seafood_fish_mustafar,Mustafarian Fish Meat,TRUE,{mustafar}
1.2.3.4.33.139.154,seafood_crustacean,Crustacean,FALSE,{}
1.2.3.4.33.139.154.155,seafood_crustacean_corellia,Corellia Crustacean Meat,TRUE,{corellia}
1.2.3.4.33.139.154.156,seafood_crustacean_dantooine,Dantooine Crustacean Meat,TRUE,{dantooine}
1.2.3.4.33.139.154.157,seafood_crustacean_dathomir,Dathomirian Crustacean Meat,TRUE,{dathomir}
1.2.3.4.33.139.154.158,seafood_crustacean_endor,Endorian Crustacean Meat,TRUE,{endor}
1.2.3.4.33.139.154.159,seafood_crustacean_lok,Lokian Crustacean Meat,TRUE,{lok}
1.2.3.4.33.139.154.160,seafood_crustacean_naboo,Nabooian Crustacean Meat,TRUE,{naboo}
1.2.3.4.33.139.154.161,seafood_crustacean_rori,Rori Crustacean Meat,TRUE,{rori}
1.2.3.4.33.139.154.162,seafood_crustacean_talus,Talusian Crustacean Meat,TRUE,{talus}
1.2.3.4.33.139.154.163,seafood_crustacean_tatooine,Tatooinian Crustacean Meat,TRUE,{tatooine}
1.2.3.4.33.139.154.164,seafood_crustacean_yavin4,Yavinian Crustacean Meat,TRUE,{yavin}
1.2.3.4.33.139.154.165,seafood_crustacean_kashyyyk,Kashyyykian Crustacean Meat,TRUE,{kashyyyk}
1.2.3.4.33.139.154.166,seafood_crustacean_mustafar,Mustafarian Crustacean Meat,TRUE,{mustafar}
1.2.3.4.33.139.167,seafood_mollusk,Mollusk,FALSE,{}
1.2.3.4.33.139.167.168,seafood_mollusk_corellia,Corellia Mollusk Meat,TRUE,{corellia}
1.2.3.4.33.139.167.169,seafood_mollusk_dantooine,Dantooine Mollusk Meat,TRUE,{dantooine}
1.2.3.4.33.139.167.170,seafood_mollusk_dathomir,Dathomirian Mollusk Meat,TRUE,{dathomir}
1.2.3.4.33.139.167.171,seafood_mollusk_endor,Endorian Mollusk Meat,TRUE,{endor}
1.2.3.4.33.139.167.172,seafood_mollusk_lok,Lokian Mollusk Meat,TRUE,{lok}
1.2.3.4.33.139.167.173,seafood_mollusk_naboo,Nabooian Mollusk Meat,TRUE,{naboo}
1.2.3.4.33.139.167.174,seafood_mollusk_rori,Rori Mollusk Meat,TRUE,{rori}
1.2.3.4.33.139.167.175,seafood_mollusk_talus,Talusian Mollusk Meat,TRUE,{talus}
1.2.3.4.33.139.167.176,seafood_mollusk_tatooine,Tatooinian Mollusk Meat,TRUE,{tatooine}
1.2.3.4.33.139.167.177,seafood_mollusk_yavin4,Yavinian Mollusk Meat,TRUE,{yavin}
1.2.3.4.33.139.167.178,seafood_mollusk_kashyyyk,Kashyyykian Mollusk Meat,TRUE,{kashyyyk}
1.2.3.4.33.139.167.179,seafood_mollusk_mustafar,Mustafarian Mollusk Meat,TRUE,{mustafar}
1.2.3.4.33.34,processed_meat,Processed Meat,FALSE,{}
1.2.3.4.33.35,meat_domesticated,Domesticated Meat,FALSE,{}
1.2.3.4.33.35.36,meat_domesticated_corellia,Corellian Domesticated Meat,TRUE,{corellia}
1.2.3.4.33.35.37,meat_domesticated_dantooine,Dantooine Domesticated Meat,TRUE,{dantooine}
1.2.3.4.33.35.38,meat_domesticated_dathomir,Dathomirian Domesticated Meat,TRUE,{dathomir}
1.2.3.4.33.35.39,meat_domesticated_endor,Endorian Domesticated Meat,TRUE,{endor}
1.2.3.4.33.35.40,meat_domesticated_lok,Lokian Domesticated Meat,TRUE,{lok}
1.2.3.4.33.35.41,meat_domesticated_naboo,Nabooian Domesticated Meat,TRUE,{naboo}
1.2.3.4.33.35.42,meat_domesticated_rori,Rori Domesticated Meat,TRUE,{rori}
1.2.3.4.33.35.43,meat_domesticated_talus,Talusian Domesticated Meat,TRUE,{talus}
1.2.3.4.33.35.44,meat_domesticated_tatooine,Tatooinian Domesticated Meat,TRUE,{tatooine}
1.2.3.4.33.35.45,meat_domesticated_yavin4,Yavinian Domesticated Meat,TRUE,{yavin}
1.2.3.4.33.35.46,meat_domesticated_kashyyyk,Kashyyykian Domesticated Meat,TRUE,{kashyyyk}
1.2.3.4.33.35.47,meat_domesticated_mustafar,Mustafarian Domesticated Meat,TRUE,{mustafar}
1.2.3.4.33.48,meat_wild,Wild Meat,FALSE,{}
1.2.3.4.33.48.49,meat_wild_corellia,Corellian Wild Meat,TRUE,{corellia}
1.2.3.4.33.48.50,meat_wild_dantooine,Dantooine Wild Meat,TRUE,{dantooine}
1.2.3.4.33.48.51,meat_wild_dathomir,Dathomirian Wild Meat,TRUE,{dathomir}
1.2.3.4.33.48.52,meat_wild_endor,Endorian Wild Meat,TRUE,{endor}
1.2.3.4.33.48.53,meat_wild_lok,Lokian Wild Meat,TRUE,{lok}
1.2.3.4.33.48.54,meat_wild_naboo,Nabooian Wild Meat,TRUE,{naboo}
1.2.3.4.33.48.55,meat_wild_rori,Rori Wild Meat,TRUE,{rori}
1.2.3.4.33.48.56,meat_wild_talus,Talusian Wild Meat,TRUE,{talus}
1.2.3.4.33.48.57,meat_wild_tatooine,Tatooinian Wild Meat,TRUE,{tatooine}
1.2.3.4.33.48.58,meat_wild_yavin4,Yavinian Wild Meat,TRUE,{yavin}
1.2.3.4.33.48.59,meat_wild_kashyyyk,Kashyyykian Wild Meat,TRUE,{kashyyyk}
1.2.3.4.33.48.60,meat_wild_mustafar,Mustafarian Wild Meat,TRUE,{mustafar}
1.2.3.4.33.61,meat_herbivore,Herbivore Meat,FALSE,{}
1.2.3.4.33.61.62,meat_herbivore_corellia,Corellian Herbivore Meat,TRUE,{corellia}
1.2.3.4.33.61.63,meat_herbivore_dantooine,Dantooine Herbivore Meat,TRUE,{dantooine}
1.2.3.4.33.61.64,meat_herbivore_dathomir,Dathomirian Herbivore Meat,TRUE,{dathomir}
1.2.3.4.33.61.65,meat_herbivore_endor,Endorian Herbivore Meat,TRUE,{endor}
1.2.3.4.33.61.66,meat_herbivore_lok,Lokian Herbivore Meat,TRUE,{lok}
1.2.3.4.33.61.67,meat_herbivore_naboo,Nabooian Herbivore Meat,TRUE,{naboo}
1.2.3.4.33.61.68,meat_herbivore_rori,Rori Herbivore Meat,TRUE,{rori}
1.2.3.4.33.61.69,meat_herbivore_talus,Talusian Herbivore Meat,TRUE,{talus}
1.2.3.4.33.61.70,meat_herbivore_tatooine,Tatooinian Herbivore Meat,TRUE,{tatooine}
1.2.3.4.33.61.71,meat_herbivore_yavin4,Yavinian Herbivore Meat,TRUE,{yavin}
1.2.3.4.33.61.72,meat_herbivore_kashyyyk,Kashyyykian Herbivore Meat,TRUE,{kashyyyk}
1.2.3.4.33.61.73,meat_herbivore_mustafar,Mustafarian Herbivore Meat,TRUE,{mustafar}
1.2.3.4.33.74,meat_carnivore,Carnivore Meat,FALSE,{}
1.2.3.4.33.74.75,meat_carnivore_corellia,Corellian Carnivore Meat,TRUE,{corellia}
1.2.3.4.33.74.76,meat_carnivore_dantooine,Dantooine Carnivore Meat,TRUE,{dantooine}
1.2.3.4.33.74.77,meat_carnivore_dathomir,Dathomirian Carnivore Meat,TRUE,{dathomir}
1.2.3.4.33.74.78,meat_carnivore_endor,Endorian Carnivore Meat,TRUE,{endor}
1.2.3.4.33.74.79,meat_carnivore_lok,Lokian Carnivore Meat,TRUE,{lok}
1.2.3.4.33.74.80,meat_carnivore_naboo,Nabooian Carnivore Meat,TRUE,{naboo}
1.2.3.4.33.74.81,meat_carnivore_rori,Rori Carnivore Meat,TRUE,{rori}
1.2.3.4.33.74.82,meat_carnivore_talus,Talusian Carnivore Meat,TRUE,{talus}
1.2.3.4.33.74.83,meat_carnivore_tatooine,Tatooinian Carnivore Meat,TRUE,{tatooine}
1.2.3.4.33.74.84,meat_carnivore_yavin4,Yavinian Carnivore Meat,TRUE,{yavin}
1.2.3.4.33.74.85,meat_carnivore_kashyyyk,Kashyyykian Carnivore Meat,TRUE,{kashyyyk}
1.2.3.4.33.74.86,meat_carnivore_mustafar,Mustafarian Carnivore Meat,TRUE,{mustafar}
1.2.3.4.33.87,meat_reptillian,Reptillian Meat,FALSE,{}
1.2.3.4.33.87.88,meat_reptilian_corellia,Corellian Reptillian Meat,TRUE,{corellia}
1.2.3.4.33.87.89,meat_reptilian_dantooine,Dantooine Reptillian Meat,TRUE,{dantooine}
1.2.3.4.33.87.90,meat_reptilian_dathomir,Dathomirian Reptillian Meat,TRUE,{dathomir}
1.2.3.4.33.87.91,meat_reptilian_endor,Endorian Reptillian Meat,TRUE,{endor}
1.2.3.4.33.87.92,meat_reptilian_lok,Lokian Reptillian Meat,TRUE,{lok}
1.2.3.4.33.87.93,meat_reptilian_naboo,Nabooian Reptillian Meat,TRUE,{naboo}
1.2.3.4.33.87.94,meat_reptilian_rori,Rori Reptillian Meat,TRUE,{rori}
1.2.3.4.33.87.95,meat_reptilian_talus,Talusian Reptillian Meat,TRUE,{talus}
1.2.3.4.33.87.96,meat_reptilian_tatooine,Tatooinian Reptillian Meat,TRUE,{tatooine}
1.2.3.4.33.87.97,meat_reptilian_yavin4,Yavinian Reptillian Meat,TRUE,{yavin}
1.2.3.4.33.87.98,meat_reptilian_kashyyyk,Kashyyykian Reptilian Meat,TRUE,{kashyyyk}
1.2.3.4.33.87.99,meat_reptilian_mustafar,Mustafarian Reptilian Meat,TRUE,{mustafar}
1.2.3.4.5,milk,Milk,FALSE,{}
1.2.3.4.5.20,milk_wild,Wild Milk,FALSE,{}
1.2.3.4.5.20.21,milk_wild_corellia,Corellian Wild Milk,TRUE,{corellia}
1.2.3.4.5.20.22,milk_wild_dantooine,Dantooine Wild Milk,TRUE,{dantooine}
1.2.3.4.5.20.23,milk_wild_dathomir,Dathomirian Wild Milk,TRUE,{dathomir}
1.2.3.4.5.20.24,milk_wild_endor,Endorian Wild Milk,TRUE,{endor}
1.2.3.4.5.20.25,milk_wild_lok,Lokian Wild Milk,TRUE,{lok}
1.2.3.4.5.20.26,milk_wild_naboo,Nabooian Wild Milk,TRUE,{naboo}
1.2.3.4.5.20.27,milk_wild_rori,Rori Wild Milk,TRUE,{rori}
1.2.3.4.5.20.28,milk_wild_talus,Talusian Wild Milk,TRUE,{talus}
1.2.3.4.5.20.29,milk_wild_tatooine,Tatooinian Wild Milk,TRUE,{tatooine}
1.2.3.4.5.20.30,milk_wild_yavin4,Yavin IV Wild Milk,TRUE,{yavin}
1.2.3.4.5.20.31,milk_wild_kashyyyk,Kashyyykian Wild Milk,TRUE,{kashyyyk}
1.2.3.4.5.20.32,milk_wild_mustafar,Mustafarian Wild Milk,TRUE,{mustafar}
1.2.3.4.5.6,milk_homogenized,Homogenized Milk,FALSE,{}
1.2.3.4.5.7,milk_domesticated,Domesticated Milk,FALSE,{}
1.2.3.4.5.7.10,milk_domesticated_dathomir,Dathomirian  Domesticated Milk,TRUE,{dathomir}
1.2.3.4.5.7.11,milk_domesticated_endor,Endorian Domesticated Milk,TRUE,{endor}
1.2.3.4.5.7.12,milk_domesticated_lok,Lokian Domesticated Milk,TRUE,{lok}
1.2.3.4.5.7.13,milk_domesticated_naboo,Nabooian Domesticated Milk,TRUE,{naboo}
1.2.3.4.5.7.14,milk_domesticated_rori,Rori Domesticated Milk,TRUE,{rori}
1.2.3.4.5.7.15,milk_domesticated_talus,Talusian Domesticated Milk,TRUE,{talus}
1.2.3.4.5.7.16,milk_domesticated_tatooine,Tatooinian Domesticated Milk,TRUE,{tatooine}
1.2.3.4.5.7.17,milk_domesticated_yavin4,Yavinian Domesticated Milk,TRUE,{yavin}
1.2.3.4.5.7.18,milk_domesticated_kashyyyk,Kashyyykian Domesticated Milk,TRUE,{kashyyyk}
1.2.3.4.5.7.19,milk_domesticated_mustafar,Mustafarian Domesticated Milk,TRUE,{mustafar}
1.2.3.4.5.7.8,milk_domesticated_corellia,Corellian Domesticated Milk,TRUE,{corellia}
1.2.3.4.5.7.9,milk_domesticated_dantooine,Dantooine Domesticated Milk,TRUE,{dantooine}
1.526,inorganic,Inorganic,FALSE,{}
1.526.527,chemical,Chemical,FALSE,{}
1.526.527.528,chemical_compound,Chemical Compound,FALSE,{}
1.526.527.529,fuel_petrochem_liquid,Liquid Petrochem Fuel,FALSE,{}
1.526.527.529.530,petrochem_fuel_liquid_unknown,Unknown Liquid Petrochem Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531,fuel_petrochem_liquid_known,Known Liquid Petrochem Fuel,FALSE,{}
1.526.527.529.531.532,petrochem_fuel_liquid_type1,Class 1 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.533,petrochem_fuel_liquid_type2,Class 2 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.534,petrochem_fuel_liquid_type3,Class 3 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.535,petrochem_fuel_liquid_type4,Class 4 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.536,petrochem_fuel_liquid_type5,Class 5 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.537,petrochem_fuel_liquid_type6,Class 6 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.538,petrochem_fuel_liquid_type7,Class 7 Liquid Petro Fuel,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.529.531.539,petrochem_fuel_liquid_mustafar,Mustafarian Liquid Petro Fuel,TRUE,{mustafar}
1.526.527.540,petrochem_inert,Inert Petrochemical,FALSE,{}
1.526.527.540.541,petrochem_inert_lubricating_oil,Lubricating Oil,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.540.542,petrochem_inert_polymer,Polymer,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.543,fiberplast,Fiberplast,FALSE,{}
1.526.527.543.544,fiberplast_corellia,Corellia Fiberplast,TRUE,{corellia}
1.526.527.543.545,fiberplast_dantooine,Dantooine Fiberplast,TRUE,{dantooine}
1.526.527.543.546,fiberplast_dathomir,Dathomirian Fiberplast,TRUE,{dathomir}
1.526.527.543.547,fiberplast_endor,Endorian Fiberplast,TRUE,{endor}
1.526.527.543.548,fiberplast_lok,Lokian Fiberplast,TRUE,{lok}
1.526.527.543.549,fiberplast_naboo,Nabooian Fiberplast,TRUE,{naboo}
1.526.527.543.550,fiberplast_rori,Rori Fiberplast,TRUE,{rori}
1.526.527.543.551,fiberplast_talus,Talusian Fiberplast,TRUE,{talus}
1.526.527.543.552,fiberplast_tatooine,Tatooinian Fiberplast,TRUE,{tatooine}
1.526.527.543.553,fiberplast_gravitonic,Gravitonic Fiberplast,TRUE,"{corellia,dantooine,dathomir,endor,lok,naboo,rori,tatooine,talus,yavin}"
1.526.527.543.554,fiberplast_yavin4,Yavinian Fiberplast,TRUE,{yavin}
1.526.527.543.555,fiberplast_kashyyyk,Kashyyykian Fiberplast,TRUE,{kashyyyk}
1.526.527.543.556,fiberplast_mustafar,Mustafarian Fiberplast,TRUE,{mustafar}
1.526.557,water,Water,FALSE,{}
1.526.557.558,water_solution,Water Solution,FALSE,{}
1.526.557.559,water_vapor_corellia,Corellian Water Vapor,TRUE,{corellia}
1.526.557.560,water_vapor_dantooine,Dantooine Water Vapor,TRUE,{dantooine}
1.526.557.561,water_vapor_dathomir,Dathomir Water Vapor,TRUE,{dathomir}
1.526.557.562,water_vapor_endor,Endorian Water Vapor,TRUE,{endor}
1.526.557.563,water_vapor_lok,Lokian Water Vapor,TRUE,{lok}
1.526.557.564,water_vapor_naboo,Nabooian Water Vapor,TRUE,{naboo}
1.526.557.565,water_vapor_rori,Rori Water Vapor,TRUE,{rori}
1.526.557.566,water_vapor_talus,Talusian Water Vapor,TRUE,{talus}
1.526.557.567,water_vapor_tatooine,Tatooinian Water Vapor,TRUE,{tatooine}
1.526.557.568,water_vapor_yavin4,Yavinian Water Vapor,TRUE,{yavin}
1.526.557.569,water_vapor_kashyyyk,Kashyyykian Water Vapor,TRUE,{kashyyyk}
1.526.557.570,water_vapor_mustafar,Mustafarian Water Vapor,TRUE,{mustafar}
1.526.571,mineral,Mineral,FALSE,{}
1.526.571.572,fuel_petrochem_solid,Solid Petrochem Fuel,FALSE,{}
1.526.571.572.573,degraded_fuel_petrochem_solid,Degraded Solid Petrochem Fuel,FALSE,{}
