id,class_tree,name,planet,res_weight_rating,res_quality,res_quality_rating,res_decay_resist,res_decay_resist_rating,res_flavor,res_flavor_rating,res_potential_energy,res_potential_energy_rating,res_malleability,res_malleability_rating,res_toughness,res_toughness_rating,res_shock_resistance,res_shock_resistance_rating,res_cold_resist,res_cold_resist_rating,res_heat_resist,res_heat_resist_rating,res_conductivity,res_conductivity_rating,entangle_resistance,entangle_resistance_rating,is_active,date_reported,date_inactive,last_modified,server_id,notes,reporter_id,last_updated_by,waypoints
98,1.2.276.484.485.500.513.522,Nyopa,{Tatooine},0.543,554,0.554,268,0.536,,,,,897,0.897,176,0.587,56,0.14,,,,,,,,,FALSE,2025-12-31 02:05:50.423989+00,,2026-01-03 18:56:45.320662+00,cuemu,,1.5035E+17,,
99,1.759.760.801.802.808,Ekargi,{Lok},0.515,500,1,,,,,12,0.03,,,,,,,,,,,,,,,FALSE,2025-12-31 23:48:12.780515+00,,2026-01-05 04:23:12.94636+00,cuemu,,1.5035E+17,,
100,1.526.571.597.627.640.644,Fati,"{Naboo,Lok,Yavin,Dantooine,Endor,Talus,Rori,Dathomir,Tatooine}",0.711,86,0.086,146,0.568,,,,,642,0.94,420,0.87,483,1,153,0.52,303,0.83,599,0.877,,,FALSE,2025-12-31 00:58:43.12444+00,,2026-01-05 14:10:36.014259+00,cuemu,,1.5035E+17,,
101,1.2.276.277.388.443.471.476,Novepee,{Lok},0.391,334,0.334,186,0.186,49,0.049,696,0.994,,,,,,,,,,,,,,,FALSE,2025-12-31 23:53:34.762811+00,,2026-01-16 10:21:36.608127+00,cuemu,,1.5035E+17,,
102,1.2.276.277.278.280.281.290,Cavia,{Tatooine},0.382,344,0.344,415,0.415,284,0.406,361,0.361,,,,,,,,,,,,,,,FALSE,2025-12-31 01:59:13.211058+00,,2026-01-16 10:32:21.243019+00,cuemu,,1.5035E+17,,
103,1.2.276.277.278.334.348.353,Bire,{Lok},0.437,450,0.45,395,0.395,363,0.363,378,0.54,,,,,,,,,,,,,,,FALSE,2025-12-31 23:51:59.963499+00,,2026-01-11 18:05:33.523499+00,cuemu,,1.5035E+17,,
104,1.2.276.277.278.334.335.340,Ehe,{Lok},0.144,246,0.246,7,0.007,12,0.017,305,0.305,,,,,,,,,,,,,,,FALSE,2025-12-31 23:52:34.416324+00,,2026-01-11 18:00:46.198837+00,cuemu,,1.5035E+17,,
105,1.2.276.277.278.361.362.367,Dere,{Lok},0.47,281,0.281,771,0.771,325,0.464,362,0.362,,,,,,,,,,,,,,,FALSE,2025-12-31 23:49:41.971099+00,,2026-01-11 18:01:00.357597+00,cuemu,,1.5035E+17,,
106,1.2.276.277.278.280.294.299,Geche,{Lok},0.351,16,0.016,438,0.438,507,0.507,311,0.444,,,,,,,,,,,,,,,TRUE,2025-12-31 23:51:33.819607+00,,2025-12-31 23:57:55.069228+00,cuemu,,1.5035E+17,,
107,1.2.276.277.278.280.281.286,Poroo,{Lok},0.352,660,0.66,77,0.077,142,0.203,468,0.468,,,,,,,,,,,,,,,FALSE,2025-12-31 23:48:38.978932+00,,2026-01-16 10:21:28.275659+00,cuemu,,1.5035E+17,,
108,1.2.276.277.278.307.308.313,Vasne,{Lok},0.549,226,0.226,36,0.036,694,0.991,942,0.942,,,,,,,,,,,,,,,FALSE,2025-12-31 23:50:32.441604+00,,2026-01-11 18:00:55.457394+00,cuemu,,1.5035E+17,,
109,1.2.276.277.388.389.430.435,Vegi,{Lok},0.424,844,0.844,234,0.234,35,0.035,583,0.583,,,,,,,,,,,,,,,TRUE,2025-12-31 23:53:04.94743+00,,2025-12-31 23:57:59.207576+00,cuemu,,1.5035E+17,,
110,1.2.276.277.278.361.375.380,Heike,{Lok},0.396,200,0.2,23,0.023,744,0.744,431,0.616,,,,,,,,,,,,,,,FALSE,2025-12-31 23:49:08.82408+00,,2026-01-16 10:21:43.38871+00,cuemu,,1.5035E+17,,
111,1.2.276.277.278.307.321.326,Keboo,{Lok},0.536,820,0.82,111,0.111,624,0.624,412,0.589,,,,,,,,,,,,,,,FALSE,2025-12-31 23:50:05.485269+00,,2026-01-11 18:00:30.740755+00,cuemu,,1.5035E+17,,
112,1.2.276.277.388.443.458.463,Baepenno,{Lok},0.343,135,0.135,361,0.361,741,0.741,133,0.133,,,,,,,,,,,,,,,FALSE,2025-12-31 23:54:01.124051+00,,2026-01-11 17:59:44.509983+00,cuemu,,1.5035E+17,,
113,1.2.276.277.388.443.445.450,Ote,{Lok},0.285,636,0.636,113,0.113,122,0.122,269,0.269,,,,,,,,,,,,,,,FALSE,2025-12-31 23:55:20.806757+00,,2026-01-05 04:22:53.77641+00,cuemu,,1.5035E+17,,
114,1.526.557.563,Kelo,{Lok},0.516,642,0.642,391,0.391,,,,,,,,,,,,,,,,,,,FALSE,2025-12-31 23:47:46.26345+00,,2026-01-05 04:22:59.330737+00,cuemu,,1.5035E+17,,
115,1.2.276.277.388.389.404.409,Rivowhe,{Lok},0.446,204,0.204,978,0.978,577,0.577,23,0.023,,,,,,,,,,,,,,,TRUE,2025-12-31 23:55:53.525449+00,,2025-12-31 23:58:09.618799+00,cuemu,,1.5035E+17,,
116,1.2.276.484.485.500.505,Vineosrou,{Lok},0.422,657,0.657,15,0.025,,,,,615,0.615,41,0.137,271,0.677,,,,,,,,,TRUE,2025-12-31 23:56:26.578341+00,,2025-12-31 23:58:10.722511+00,cuemu,,1.5035E+17,,
117,1.759.760.801.802.812,Keimaris,{Tatooine},0.76,500,1,,,,,208,0.52,,,,,,,,,,,,,,,FALSE,2025-12-31 01:57:43.604682+00,,2026-01-07 01:57:45.666349+00,cuemu,,1.5035E+17,,
118,1.2.276.277.388.389.417.422,Snace,{Lok},0.653,403,0.403,625,0.625,970,0.97,614,0.614,,,,,,,,,,,,,,,FALSE,2025-12-31 23:54:27.787146+00,,2026-01-08 08:22:57.817646+00,cuemu,,1.85879E+17,,
119,1.526.571.597.598.616.619,Ileiiam,"{Lok,Corellia}",0.669,296,0.296,384,0.766,,,,,135,0.78,483,0.843,539,0.941,76,0.329,580,0.901,71,0.493,,,FALSE,2025-12-31 23:46:40.394149+00,,2026-01-05 14:12:48.706032+00,cuemu,,1.5035E+17,,
120,1.2.276.277.388.389.391.396,Efi,{Lok},0.369,111,0.111,572,0.572,264,0.264,529,0.529,,,,,,,,,,,,,,,FALSE,2025-12-31 23:54:53.606224+00,,2026-01-05 04:22:44.159655+00,cuemu,,1.5035E+17,,
121,1.759.760.801.815.825,Peugiasis,{Tatooine},0.835,500,1,,,,,402,0.67,,,,,,,,,,,,,,,FALSE,2025-12-31 01:56:57.058019+00,,2026-01-05 14:31:16.738354+00,cuemu,,1.5035E+17,,
122,1.2.276.277.278.334.335.344,Seodra,{Tatooine},0.507,501,0.501,673,0.673,161,0.23,624,0.624,,,,,,,,,,,,,,,FALSE,2025-12-31 02:01:02.755631+00,,2026-01-05 04:10:55.977419+00,cuemu,,1.5035E+17,,
123,1.2.276.484.485.487.496,Ohe,{Tatooine},0.449,922,0.922,68,0.085,,,,,559,0.699,77,0.096,310,0.443,,,,,,,,,FALSE,2025-12-31 02:04:46.606491+00,,2026-01-05 04:11:03.456706+00,cuemu,,1.5035E+17,,
124,1.2.276.484.485.487.492,Sera,{Lok},0.433,208,0.208,237,0.296,,,,,664,0.83,153,0.191,447,0.639,,,,,,,,,FALSE,2025-12-31 23:56:53.619216+00,,2026-01-06 19:33:14.076521+00,cuemu,,1.5035E+17,,
125,1.2.276.484.485.500.513.518,Dossia,{Lok},0.527,902,0.902,116,0.232,,,,,824,0.824,5,0.017,264,0.66,,,,,,,,,FALSE,2025-12-31 23:57:31.524149+00,,2026-01-07 02:03:13.930107+00,cuemu,,1.5035E+17,,
126,1.526.571.597.627.630.634,Hewi,"{Rori,Tatooine,Corellia,Yavin,Dantooine,Endor,Talus,Dathomir}",0.729,208,0.208,259,0.589,,,,,597,0.872,525,0.833,492,0.781,318,0.723,476,0.898,532,0.925,,,FALSE,2025-12-30 03:56:31.052251+00,,2026-01-06 19:06:49.851684+00,cuemu,,1.5035E+17,,
127,1.759.760.801.815.826,Slimifa,{Yavin},0.766,500,1,,,,,320,0.533,,,,,,,,,,,,,,,FALSE,2026-01-01 00:29:00.877597+00,,2026-01-05 02:54:31.798254+00,cuemu,,1.5035E+17,,
128,1.526.527.543.554,Archtoo,{Yavin},0.496,170,0.17,615,0.615,,,,,932,0.932,143,0.143,618,0.618,,,,,,,,,FALSE,2026-01-01 00:30:19.368482+00,,2026-01-07 21:59:04.693717+00,cuemu,,1.5035E+17,,
129,1.526.527.529.531.535,Octetiaine,"{Dantooine,Dathomir}",0.74,795,0.795,575,0.958,,,468,0.468,,,,,,,,,,,,,,,FALSE,2026-01-01 01:30:17.417806+00,,2026-01-05 02:38:34.373198+00,cuemu,,1.5035E+17,,
130,1.526.571.584.587.596,Nasmo,{Yavin},0.416,283,0.283,801,0.801,,,163,0.163,,,,,,,,,,,,,,,FALSE,2026-01-01 00:30:43.306927+00,,2026-01-16 05:07:26.63427+00,cuemu,,1.5035E+17,,
131,1.2.276.277.278.280.294.304,Koudrega,{Yavin},0.333,355,0.355,268,0.268,385,0.385,226,0.323,,,,,,,,,,,,,,,FALSE,2026-01-01 00:35:19.04393+00,,2026-01-16 05:25:24.713035+00,cuemu,,1.5035E+17,,
132,1.2.276.277.388.389.404.414,Wome,{Yavin},0.19,27,0.027,219,0.219,293,0.293,219,0.219,,,,,,,,,,,,,,,FALSE,2026-01-01 00:38:32.989559+00,,2026-01-05 03:02:09.020019+00,cuemu,,1.5035E+17,,
133,1.2.276.484.485.487.497,Moboo,{Yavin},0.471,202,0.202,66,0.083,,,,,541,0.676,547,0.684,497,0.71,,,,,,,,,FALSE,2026-01-01 00:40:47.458208+00,,2026-01-09 23:39:21.428028+00,cuemu,,1.5035E+17,,
134,1.2.276.484.485.500.510,Spofe,{Yavin},0.479,12,0.012,542,0.903,,,,,878,0.878,4,0.013,235,0.588,,,,,,,,,FALSE,2026-01-01 00:40:21.799292+00,,2026-01-16 05:24:21.431602+00,cuemu,,1.5035E+17,,
135,1.526.527.543.545,Lfoiba,{Dantooine},0.311,507,0.507,238,0.238,,,,,241,0.241,465,0.465,103,0.103,,,,,,,,,FALSE,2026-01-01 01:29:52.519927+00,,2026-01-07 21:37:31.678699+00,cuemu,,1.5035E+17,,
136,1.526.571.597.598.601.615,Tahi,{Mustafar},0.899,576,0.576,957,0.957,,,,,352,0.88,922,0.922,951,0.951,783,0.979,961,0.961,630,0.969,,,FALSE,2026-01-01 00:31:15.346177+00,,2026-01-07 22:32:22.273948+00,cuemu,,1.5035E+17,,
137,1.2.276.277.388.443.471.481,Fiquepi,{Yavin},0.429,648,0.648,148,0.148,298,0.298,437,0.624,,,,,,,,,,,,,,,FALSE,2026-01-01 00:38:58.587406+00,,2026-01-16 05:23:18.621284+00,cuemu,,1.5035E+17,,
138,1.2.276.277.388.389.417.427,Fefia,{Yavin},0.246,271,0.271,136,0.136,378,0.378,199,0.199,,,,,,,,,,,,,,,FALSE,2026-01-01 00:37:40.745567+00,,2026-01-16 05:23:13.970416+00,cuemu,,1.5035E+17,,
139,1.2.276.277.388.443.445.455,Fischla,{Yavin},0.403,444,0.444,96,0.096,643,0.643,430,0.43,,,,,,,,,,,,,,,FALSE,2026-01-01 00:39:56.881562+00,,2026-01-05 03:01:55.097228+00,cuemu,,1.5035E+17,,
140,1.2.276.277.388.389.430.440,Cloda,{Yavin},0.303,370,0.37,199,0.199,229,0.229,413,0.413,,,,,,,,,,,,,,,FALSE,2026-01-01 00:38:06.656312+00,,2026-01-07 22:06:22.343007+00,cuemu,,1.5035E+17,,
141,1.2.276.277.278.361.362.372,Aise,{Yavin},0.257,413,0.413,187,0.187,2,0.003,424,0.424,,,,,,,,,,,,,,,FALSE,2026-01-01 00:35:47.511367+00,,2026-01-16 05:26:00.355546+00,cuemu,,1.5035E+17,,
142,1.2.276.277.278.280.281.291,Roihi,{Yavin},0.472,449,0.449,231,0.231,488,0.697,511,0.511,,,,,,,,,,,,,,,FALSE,2026-01-01 00:36:41.309093+00,,2026-01-05 03:01:46.099338+00,cuemu,,1.5035E+17,,
143,1.2.276.277.278.334.335.345,Fosapa,{Yavin},0.223,282,0.282,181,0.181,78,0.111,317,0.317,,,,,,,,,,,,,,,TRUE,2026-01-01 00:34:22.07173+00,,2026-01-01 00:45:28.231625+00,cuemu,,1.5035E+17,,
144,1.2.276.277.388.389.391.401,Maha,{Yavin},0.317,242,0.242,83,0.083,647,0.647,297,0.297,,,,,,,,,,,,,,,FALSE,2026-01-01 00:37:13.359186+00,,2026-01-16 05:23:10.894957+00,cuemu,,1.5035E+17,,
145,1.2.276.277.278.307.308.318,Ide,{Yavin},0.448,874,0.874,75,0.075,312,0.446,398,0.398,,,,,,,,,,,,,,,TRUE,2026-01-01 00:33:18.581418+00,,2026-01-01 00:45:31.026674+00,cuemu,,1.5035E+17,,
146,1.526.571.653.654.669.674,Oigo,{Yavin},0.753,49,0.049,603,0.847,,,,,250,0.706,751,0.997,724,0.912,530,0.79,849,0.968,,,,,FALSE,2026-01-01 00:32:45.759093+00,,2026-01-07 21:58:51.921754+00,cuemu,,1.5035E+17,,
147,1.526.557.570,Oka,{Mustafar},0.442,707,0.707,177,0.177,,,,,,,,,,,,,,,,,,,FALSE,2026-01-01 00:29:54.339342+00,,2026-01-07 23:43:04.289515+00,cuemu,,1.5035E+17,,
148,1.2.276.277.278.307.321.331,Matha,{Yavin},0.452,92,0.092,591,0.591,609,0.609,360,0.514,,,,,,,,,,,,,,,FALSE,2026-01-01 00:33:46.46987+00,,2026-01-16 05:22:46.881116+00,cuemu,,1.5035E+17,,
149,1.759.760.801.802.813,Rislao,{Yavin},0.537,500,1,,,,,30,0.075,,,,,,,,,,,,,,,FALSE,2026-01-01 00:29:17.960603+00,,2026-01-07 22:00:14.991435+00,cuemu,,1.5035E+17,,
150,1.526.571.572.575.582,Cabaiam,{Dantooine},0.64,163,0.163,677,0.846,,,912,0.912,,,,,,,,,,,,,,,FALSE,2026-01-01 01:29:01.348857+00,,2026-01-08 10:44:13.399009+00,cuemu,,1.5035E+17,,
151,1.2.276.277.278.361.375.385,Opi,{Yavin},0.341,89,0.089,48,0.048,344,0.344,619,0.884,,,,,,,,,,,,,,,FALSE,2026-01-01 00:36:12.594268+00,,2026-01-07 22:03:58.664109+00,cuemu,,1.5035E+17,,
152,1.526.557.568,Gice,{Yavin},0.53,607,0.607,453,0.453,,,,,,,,,,,,,,,,,,,FALSE,2026-01-01 00:29:37.343387+00,,2026-01-07 22:01:20.075261+00,cuemu,,1.5035E+17,,
153,1.2.276.277.278.334.348.358,Ego,{Yavin},0.379,687,0.687,489,0.489,307,0.307,22,0.031,,,,,,,,,,,,,,,FALSE,2026-01-01 00:34:46.713486+00,,2026-01-05 02:59:27.713029+00,cuemu,,1.5035E+17,,
154,1.526.571.597.598.616.624,Rewiism,{Yavin},0.865,510,0.51,892,0.95,,,,,478,0.872,891,0.94,902,0.951,588,0.805,872,0.912,448,0.982,,,FALSE,2026-01-01 00:31:54.070058+00,,2026-01-07 21:57:20.129389+00,cuemu,,1.5035E+17,,
155,1.526.527.540.542,Pocce,"{Naboo,Rori,Tatooine,Corellia,Yavin,Endor}",0.437,303,0.303,787,0.787,,,,,195,0.195,712,0.712,188,0.188,,,,,,,,,FALSE,2025-12-30 04:03:35.144769+00,,2026-01-02 19:20:22.440872+00,cuemu,,1.5035E+17,,
156,1.759.760.801.815.818,Oixo,{Dantooine},0.863,500,1,,,,,436,0.727,,,,,,,,,,,,,,,FALSE,2026-01-01 01:31:06.731109+00,,2026-01-07 21:40:21.526976+00,cuemu,,1.5035E+17,,
157,1.2.276.277.388.443.458.468,Wogleu,{Yavin},0.196,151,0.151,358,0.358,188,0.188,87,0.087,,,,,,,,,,,,,,,FALSE,2026-01-01 00:39:27.998281+00,,2026-01-09 23:35:58.900263+00,cuemu,,1.5035E+17,,
158,1.2.276.484.485.500.513.523,Cimeska,{Yavin},0.423,304,0.304,265,0.53,,,,,993,0.993,40,0.133,62,0.155,,,,,,,,,TRUE,2026-01-01 00:41:13.812488+00,,2026-01-01 00:45:01.601493+00,cuemu,,1.5035E+17,,
159,1.2.276.277.388.443.458.460,Codau,{Dantooine},0.476,6,0.006,543,0.543,554,0.554,800,0.8,,,,,,,,,,,,,,,FALSE,2026-01-01 01:36:42.931914+00,,2026-01-05 03:16:31.963407+00,cuemu,,1.5035E+17,,
160,1.759.760.801.815.820,Scitoium,{Endor},0.854,500,1,,,,,425,0.708,,,,,,,,,,,,,,,FALSE,2026-01-01 19:40:37.246004+00,,2026-01-07 22:14:15.057335+00,cuemu,,1.5035E+17,,
161,1.2.276.277.278.361.362.364,Foviele,{Dantooine},0.577,638,0.638,700,0.7,295,0.421,548,0.548,,,,,,,,,,,,,,,FALSE,2026-01-01 01:39:18.488082+00,,2026-01-13 23:32:02.093476+00,cuemu,,1.5035E+17,,
162,1.2.276.277.278.334.348.350,Pota,{Dantooine},0.429,115,0.115,366,0.366,948,0.948,202,0.289,,,,,,,,,,,,,,,FALSE,2026-01-01 01:38:51.002574+00,,2026-01-13 23:36:44.835126+00,cuemu,,1.5035E+17,,
163,1.2.276.277.388.389.417.421,Nifeba,{Endor},0.178,169,0.169,149,0.149,381,0.381,13,0.013,,,,,,,,,,,,,,,FALSE,2026-01-01 19:46:32.955446+00,,2026-01-19 02:07:54.369521+00,cuemu,,1.85879E+17,,
164,1.2.276.277.278.307.308.310,Yewi,{Dantooine},0.631,672,0.672,931,0.931,278,0.397,524,0.524,,,,,,,,,,,,,,,FALSE,2026-01-01 01:38:01.44116+00,,2026-01-02 21:43:43.116782+00,cuemu,,1.5035E+17,,
165,1.526.557.560,Caestogoi,{Dantooine},0.677,735,0.735,620,0.62,,,,,,,,,,,,,,,,,,,FALSE,2026-01-01 01:31:24.984509+00,,2026-01-07 21:40:38.937998+00,cuemu,,1.5035E+17,,
166,1.2.276.277.278.307.321.323,Ewado,{Dantooine},0.373,121,0.121,153,0.153,627,0.627,413,0.59,,,,,,,,,,,,,,,TRUE,2026-01-01 01:37:32.101747+00,,2026-01-01 01:40:58.293944+00,cuemu,,1.5035E+17,,
167,1.2.276.277.278.280.294.296,Tigosca,{Dantooine},0.336,155,0.155,149,0.149,423,0.423,431,0.616,,,,,,,,,,,,,,,TRUE,2026-01-01 01:37:06.365792+00,,2026-01-01 01:40:59.936608+00,cuemu,,1.5035E+17,,
168,1.2.276.277.278.307.308.312,Jaela,{Endor},0.419,229,0.229,301,0.301,476,0.68,465,0.465,,,,,,,,,,,,,,,FALSE,2026-01-01 19:46:10.521631+00,,2026-01-05 03:20:06.144231+00,cuemu,,1.5035E+17,,
169,1.2.276.277.278.361.375.379,Byeve,{Endor},0.533,688,0.688,667,0.667,418,0.418,252,0.36,,,,,,,,,,,,,,,FALSE,2026-01-01 19:44:34.487172+00,,2026-01-10 00:01:20.737343+00,cuemu,,1.5035E+17,,
170,1.2.276.277.388.443.471.473,Ahoo,{Dantooine},0.712,712,0.712,696,0.696,565,0.565,612,0.874,,,,,,,,,,,,,,,FALSE,2026-01-01 01:35:17.292224+00,,2026-01-11 16:52:39.104236+00,cuemu,,1.5035E+17,,
171,1.2.276.277.388.389.430.432,Sxana,{Dantooine},0.261,764,0.764,54,0.054,128,0.128,98,0.098,,,,,,,,,,,,,,,FALSE,2026-01-01 01:33:30.15485+00,,2026-01-11 16:54:32.256665+00,cuemu,,1.5035E+17,,
172,1.2.276.277.278.361.375.377,Spelle,{Dantooine},0.461,698,0.698,13,0.013,458,0.458,472,0.674,,,,,,,,,,,,,,,FALSE,2026-01-01 01:39:46.374713+00,,2026-01-07 21:42:14.238982+00,cuemu,,1.5035E+17,,
173,1.2.276.277.388.389.417.419,Wegoi,{Dantooine},0.493,534,0.534,845,0.845,185,0.185,409,0.409,,,,,,,,,,,,,,,FALSE,2026-01-01 01:34:51.527746+00,,2026-01-07 21:41:41.347982+00,cuemu,,1.5035E+17,,
174,1.2.276.484.485.500.502,Matsa,{Dantooine},0.582,569,0.569,194,0.323,,,,,982,0.982,141,0.47,227,0.568,,,,,,,,,TRUE,2026-01-01 01:33:57.630663+00,,2026-01-01 01:41:11.418895+00,cuemu,,1.5035E+17,,
175,1.2.276.277.388.389.404.406,Mabo,{Dantooine},0.629,212,0.212,811,0.811,674,0.674,820,0.82,,,,,,,,,,,,,,,TRUE,2026-01-01 01:33:04.569552+00,,2026-01-01 01:41:14.46623+00,cuemu,,1.5035E+17,,
176,1.2.276.484.485.487.489,Daba,{Dantooine},0.571,800,0.8,67,0.084,,,,,665,0.831,293,0.366,542,0.774,,,,,,,,,TRUE,2026-01-01 01:32:36.612067+00,,2026-01-01 01:41:16.765058+00,cuemu,,1.5035E+17,,
177,1.759.760.801.802.807,Falefoine,{Endor},0.633,500,1,,,,,106,0.265,,,,,,,,,,,,,,,FALSE,2026-01-01 19:40:56.478934+00,,2026-01-07 22:14:52.230035+00,cuemu,,1.5035E+17,,
178,1.2.276.277.278.307.321.325,Staorlola,{Endor},0.542,653,0.653,93,0.093,664,0.664,531,0.759,,,,,,,,,,,,,,,FALSE,2026-01-01 19:45:00.837184+00,,2026-01-07 22:18:10.521433+00,cuemu,,1.5035E+17,,
179,1.526.571.653.654.657.659,Koeperis,"{Yavin,Lok,Endor,Corellia}",0.743,246,0.246,434,0.941,,,,,98,0.705,463,0.861,472,0.877,278,0.724,454,0.844,,,,,FALSE,2025-12-31 23:58:51.19374+00,,2026-01-06 19:27:45.60109+00,cuemu,,1.5035E+17,,
180,1.2.276.277.278.334.335.337,Cobu,{Dantooine},0.512,315,0.315,475,0.475,658,0.94,317,0.317,,,,,,,,,,,,,,,FALSE,2026-01-01 01:40:11.037537+00,,2026-01-13 23:25:18.48107+00,cuemu,,1.5035E+17,,
181,1.2.276.277.278.361.362.366,Kamoso,{Endor},0.528,524,0.524,369,0.369,575,0.821,399,0.399,,,,,,,,,,,,,,,FALSE,2026-01-01 19:45:47.143333+00,,2026-01-07 22:22:21.890415+00,cuemu,,1.5035E+17,,
182,1.2.276.484.485.500.513.515,Leclepa,{Dantooine},0.439,197,0.197,226,0.452,,,,,834,0.834,150,0.5,85,0.212,,,,,,,,,FALSE,2026-01-01 01:35:51.278214+00,,2026-01-11 16:51:38.64006+00,cuemu,,1.5035E+17,,
183,1.2.276.277.278.334.348.352,Ciquemni,{Endor},0.605,888,0.888,318,0.318,722,0.722,343,0.49,,,,,,,,,,,,,,,FALSE,2026-01-01 19:44:07.705344+00,,2026-01-07 22:21:22.366237+00,cuemu,,1.5035E+17,,
184,1.526.728.729.731.741,Beeskeeene,{Mustafar},0.852,837,0.837,867,0.867,,,,,,,,,,,,,,,,,,,FALSE,2026-01-01 01:30:43.911784+00,,2026-01-07 23:43:02.578339+00,cuemu,,1.5035E+17,,
185,1.526.557.562,Hipia,{Endor},0.547,827,0.827,268,0.268,,,,,,,,,,,,,,,,,,,FALSE,2026-01-01 19:41:13.169851+00,,2026-01-06 04:56:39.402967+00,cuemu,,6.17819E+17,,
186,1.2.276.277.278.334.335.339,Tice,{Endor},0.401,480,0.48,226,0.226,224,0.32,577,0.577,,,,,,,,,,,,,,,FALSE,2026-01-01 19:43:41.495828+00,,2026-01-19 02:09:21.831989+00,cuemu,,1.85879E+17,,
187,1.526.571.653.654.657.661,Tideuleo,"{Dantooine,Dathomir}",0.836,522,0.522,525,0.874,,,,,195,0.753,626,0.951,608,0.924,478,0.879,623,0.947,,,,,FALSE,2026-01-01 01:40:46.750566+00,,2026-01-07 21:11:45.038043+00,cuemu,,1.5035E+17,,
188,1.2.276.277.278.280.281.283,Saya,{Dantooine},0.431,509,0.509,452,0.452,23,0.033,730,0.73,,,,,,,,,,,,,,,FALSE,2026-01-01 01:38:27.152317+00,,2026-01-02 21:42:32.89381+00,cuemu,,1.5035E+17,,
189,1.2.276.277.388.389.391.393,Wahirtoo,{Dantooine},0.433,103,0.103,581,0.581,539,0.539,510,0.51,,,,,,,,,,,,,,,FALSE,2026-01-01 01:34:26.332086+00,,2026-01-07 21:41:37.154848+00,cuemu,,1.5035E+17,,
190,1.2.276.277.388.443.445.447,Llitchoa,{Dantooine},0.417,204,0.204,496,0.496,336,0.336,632,0.632,,,,,,,,,,,,,,,FALSE,2026-01-01 01:36:19.108174+00,,2026-01-08 17:00:25.855622+00,cuemu,,1.1874E+17,,
191,1.2.276.277.278.280.281.285,Yay,{Endor},0.645,471,0.471,668,0.668,415,0.593,848,0.848,,,,,,,,,,,,,,,FALSE,2026-01-01 19:43:16.275108+00,,2026-01-11 17:22:44.044042+00,cuemu,,1.5035E+17,,
192,1.2.276.277.388.443.458.462,Lowro,{Endor},0.472,499,0.499,630,0.63,94,0.094,665,0.665,,,,,,,,,,,,,,,FALSE,2026-01-01 19:49:01.602701+00,,2026-01-10 00:00:48.126281+00,cuemu,,1.5035E+17,,
193,1.2.276.277.388.389.417.420,Mauwhe,{Dathomir},0.368,420,0.42,488,0.488,157,0.157,406,0.406,,,,,,,,,,,,,,,FALSE,2026-01-01 20:00:02.012895+00,,2026-01-13 23:08:00.609081+00,cuemu,,1.5035E+17,,
194,1.2.276.277.278.280.294.298,Ciwe,{Endor},0.617,576,0.576,358,0.358,933,0.933,421,0.601,,,,,,,,,,,,,,,FALSE,2026-01-01 19:45:23.808393+00,,2026-01-19 02:06:46.891324+00,cuemu,,1.85879E+17,,
195,1.526.527.543.547,Fegie,{Endor},0.436,503,0.503,340,0.34,,,,,303,0.303,231,0.231,802,0.802,,,,,,,,,FALSE,2026-01-01 19:40:17.589361+00,,2026-01-07 22:12:59.195473+00,cuemu,,1.5035E+17,,
196,1.2.276.277.388.389.430.434,Loja,{Endor},0.322,234,0.234,255,0.255,567,0.567,231,0.231,,,,,,,,,,,,,,,FALSE,2026-01-01 19:47:46.20956+00,,2026-01-16 09:43:29.150692+00,cuemu,,1.5035E+17,,
197,1.2.276.277.278.307.308.311,Wapi,{Dathomir},0.557,581,0.581,116,0.116,584,0.834,698,0.698,,,,,,,,,,,,,,,FALSE,2026-01-01 19:57:11.279522+00,,2026-01-16 04:42:53.135861+00,cuemu,,1.5035E+17,,
198,1.2.276.277.388.443.471.475,Afi,{Endor},0.497,779,0.779,662,0.662,82,0.082,326,0.466,,,,,,,,,,,,,,,FALSE,2026-01-01 19:48:34.579415+00,,2026-01-16 09:43:23.696109+00,cuemu,,1.5035E+17,,
199,1.2.276.277.388.389.391.395,Riheli,{Endor},0.584,826,0.826,661,0.661,257,0.257,590,0.59,,,,,,,,,,,,,,,FALSE,2026-01-01 19:46:55.269862+00,,2026-01-07 22:19:12.33496+00,cuemu,,1.5035E+17,,
200,1.2.276.484.485.500.513.517,Vewwovi,{Endor},0.625,1000,1,279,0.558,,,,,999,0.999,127,0.423,59,0.147,,,,,,,,,FALSE,2026-01-01 19:49:57.543492+00,,2026-01-07 22:16:01.494619+00,cuemu,,1.5035E+17,,
201,1.526.571.597.627.630.637,Gisa,{Dathomir},0.422,123,0.123,124,0.124,,,,,646,0.646,107,0.107,254,0.254,956,0.956,217,0.217,950,0.95,,,TRUE,2026-01-01 19:50:54.806577+00,,2026-01-07 22:11:13.060117+00,cuemu,-380 -2600 Dath Science,1.5035E+17,,
202,1.526.527.543.546,Refloewo,{Dathomir},0.35,394,0.394,294,0.294,,,,,344,0.344,493,0.493,226,0.226,,,,,,,,,FALSE,2026-01-01 19:55:00.136529+00,,2026-01-02 21:51:06.883987+00,cuemu,,1.5035E+17,,
